TESS_ID,RAdeg,DEdeg,Gao_Period,CCProb,Type,Gaia_dr3_source_id,ra,dec,vbroad,vbroad_error,Psini,e_P_sini,pm,pmra,pmdec,radial_velocity,parallax,parallax_error,phot_g_mean_mag,bp_rp,teff_gspphot,logg_gspphot,gaia_source_id,par_source_id,mass_flame,mass_flame_lower,mass_flame_upper,radius_flame,lum_flame,age_flame,radius_gspphot,radius_gspphot_lower,radius_gspphot_upper,mg_gspphot,mg_gspphot_lower,mg_gspphot_upper,ag_gspphot,mh_gspphot,ebpminrp_gspphot,authors_used,flux_kinds_used,n_usable_sectors,sector_numbers_downloaded,raw_points_per_sector,kept_points_per_sector,kept_frac_per_sector,sector_ls_json,time_min_btjd,time_max_btjd,baseline_days,n_points_total,flux_mean,flux_std,fmin,fmax,n_freq,power_min,power_max,power_median,n_peaks,threshold,best_idx,best_freq,best_period_days,period_err_days,T0_btjd,best_power,best_power_over_median,IsBinary,DoublePeriod,CorrectedPeriod,P_Sussholz/P_Gao,under3sig
344132084,279.72265,-76.49934,1.152245,0.56,ROT,6.41333584603499E18,279.7229149,-76.49960057,27.715155,1.0866193,2.521864302,0.098873935,60.02285,14.01382691,-58.36399038,-9.520872,14.94425038,0.022260403,7.6949334,0.6180477,6349.3794,4.2124,6.41333584603499E18,6.41333584603499E18,1.224407,1.184396,1.2645142,1.3761258,2.7774723,2.8060248,1.3815,1.3671,1.3852,3.5548,3.5507,3.5632,0.0011,-0.4238,6.0E-4,"[""SPOC""]","[""PDCSAP""]",1,[13],[19439],[19439],[1.0],,1657.0254658999672,1682.3599567805297,25.334490880562498,17218,1.0001459121704102,0.001082264,0.004,4,240000,5.430129760117639E-10,0.7531096726871479,3.96907710882712E-4,42,4.762892530592544E-4,51866,0.8675724982187426,1.152641424265005,0.048533445,1657,0.7531096726871479,1897.4427859117484,,,1.152641424265005,1,V
344140939,108.46463,-49.03068,2.362487,0.54,ROT,5.50559035049744E18,108.4646175,-49.03063232,18.54194,2.236565,4.029532056,0.486050023,10.591183,-2.362436105,10.32434225,39.821922,5.213781012,0.01695515,9.817685,0.6113119,6473.4316,4.1129,5.50559035049744E18,5.50559035049744E18,1.2827871,1.2427062,1.3228761,1.4664361,3.4033654,2.447604,1.4768,1.4717,1.482,3.3331,3.3244,3.3408,0.0528,-0.5169,0.0286,"[""SPOC""]","[""PDCSAP""]",2,"[6, 7]","[14652, 16343]","[14652, 16339]","[1.0, 0.999755246894695]",,1468.2734645673129,1516.087872965617,47.81440839830407,30990,0.999756396,0.001648143,0.004,4,240000,1.5611913541622496E-8,0.6510983848235606,8.769802210726553E-5,85,1.0523762652871864E-4,25182,0.4232820470085292,2.362490937348566,0.099806915,1468,0.6510983848235606,7424.3223413543665,V,,2.362490937348566,1,V
344302002,23.21989,4.77447,1.998265,0.65,ROT,2.56176231633347E18,23.21995516,4.774425721,19.063429,1.2732545,2.997863213,0.200228554,17.817465,14.38627539,-10.51176288,11.304371,13.22418985,0.02204279,8.572746,0.68679905,6086.546,4.3367,2.56176231633347E18,2.56176231633347E18,1.114989,1.0749785,1.1549973,1.1265829,1.5694784,2.584147,1.1296,1.1277,1.1315,4.1732,4.1697,4.177,2.0E-4,-0.4023,1.0E-4,"[""SPOC""]","[""PDCSAP""]",2,"[42, 43]","[13075, 14048]","[13075, 14048]","[1.0, 1.0]",,2447.6943649849823,2498.346720581362,50.65235559637995,27117,0.9999783635139465,0.0022372,0.004,4,240000,1.175059460062344E-8,0.5875848525210472,1.1091354970053413E-4,88,1.3309625964064094E-4,29723,0.49889001204171685,2.004449830349341,0.0661611,2447,0.5875848525210472,5297.683232639497,,,2.004449830349341,1,V
344662683,15.21126,4.83396,2.553296,0.5,ROT,2.55218409258641E18,15.21142193,4.833928879,11.712357,0.594843,8.407675667,0.427006026,37.211517,36.69416927,-6.183437994,7.50043,11.38138155,0.026361581,7.626662,0.6656232,6253.5635,3.9778,2.55218409258641E18,2.55218409258641E18,1.3840452,1.3440155,1.424077,1.9340469,5.1551476,2.8762398,1.9464,1.9418,1.9517,2.8489,2.8439,2.8534,0.0468,-0.0993,0.0252,"[""SPOC""]","[""PDCSAP""]",3,"[42, 70, 70]","[13075, 90542, 15078]","[13074, 90492, 15078]","[0.9999235181644359, 0.9994477700956462, 1.0]",,2447.6949584216313,3233.0835528165803,785.3885944,116414,0.999985933,7.765970076434314E-4,0.004,4,240000,2.674697992383219E-9,0.1887967249856705,2.0944466106127629E-4,1874,2.5133359327353155E-4,11652,0.19800660836086817,5.0503364926967205,0.022932449,2447,0.1887967249856705,901.4157917849005,,,5.0503364926967205,1.98,V
345899572,192.93662,-15.69232,0.766848,0.51,ROT,3.52444003127072E18,192.9364988,-15.69239857,63.55075,3.23202,1.086994455,0.055281611,32.1648,-27.07056408,-17.37121061,11.749178,6.276537885,0.019184366,9.581421,0.6250801,6388.2935,4.2222,3.52444003127072E18,3.52444003127072E18,1.2316775,1.1916599,1.2717052,1.3530629,2.7477944,2.4579532,1.3654,1.361,1.3699,3.5538,3.5468,3.5609,0.0018,-0.4173,0.001,"[""SPOC""]","[""PDCSAP""]",1,[10],[14891],[14887],[0.9997313813712981],,1571.4095332775819,1595.6858990649666,24.276365787384748,14887,1.0000160932540894,0.001012469,0.004,4,240000,1.889882831223782E-8,0.129027442,8.333449171441928E-4,44,0.001000014,77693,1.2975938399743332,0.7706571726787639,0.030170374756590883,1571,0.129027442,154.83077847298313,,,0.7706571726787639,1,V
345942287,193.28969,-14.96559,4.035166,0.51,ROT,3.52533798867316E18,193.2896466,-14.96545917,7.860052,0.7731418,9.331271856,0.917856055,31.0198,-10.01574259,29.35835237,-3.675772,15.47733508,0.025069447,7.514488,0.6015096,6367.5063,4.0677,3.52533798867316E18,3.52533798867316E18,1.2512593,1.211253,1.2912686,1.4548486,3.1355286,2.887742,1.4497,1.4452,1.4531,3.4669,3.4625,3.4727,3.0E-4,-0.8706,1.0E-4,"[""SPOC""]","[""PDCSAP""]",7,"[10, 37, 46, 90, 91, 90, 91]","[14891, 15531, 16458, 112595, 76535, 18373, 10521]","[14891, 15529, 16458, 112566, 76419, 18373, 10521]","[1.0, 0.9998712252913527, 1.0, 0.9997424397175718, 0.998484353563729, 1.0, 1.0]",,1571.4095450532245,3799.6339860010735,2228.224440947849,262050,0.9999678730964661,9.228545823134482E-4,0.004,4,240000,1.7188473359650526E-10,0.3281638062823816,4.8637771649992766E-5,4368,5.836532597999132E-5,15134,0.2559821499256247,3.9065223895125065,0.005590097,1571,0.3281638062823816,6747.097886060955,,,3.9065223895125065,0.97,X
346487120,97.08836,-12.85919,1.837476,0.78,ROT,2.99998745027719E18,97.0883305,-12.85920496,11.820752,1.5023816,7.083387629,0.900277008,6.275714,-5.475493958,-3.066520749,38.50651,6.074292134,0.01497585,8.86128,0.4585352,6947.207,4.0879,2.99998745027719E18,2.99998745027719E18,1.4679269,1.4279045,1.5079538,1.6633441,5.8068314,1.4183189,1.655,1.6508,1.6591,2.7869,2.7818,2.7922,6.0E-4,-0.5732,3.0E-4,"[""SPOC""]","[""PDCSAP""]",1,[33],[17458],[17458],[1.0],,2201.737382935231,2227.5762185836784,25.838835648447457,17457,1.0022881031036377,0.017517374828457832,0.004,4,240000,3.6758968099450725E-10,0.7725635309057372,4.7442331082860224E-4,39,5.693079729943227E-4,32492,0.5449940541418923,1.834882403578745,0.12198078111933494,2201,0.7725635309057372,1628.426582910564,,,1.834882403578745,1,V
346832357,23.067,9.22787,1.408603,0.52,ROT,2.57298132066633E18,23.06704539,9.227802423,25.403418,1.9659989,2.353440453,0.182135386,19.458136,11.19693823,-15.91375497,13.442918,7.873821777,0.021380134,9.552414,0.6790981,6127.952,4.2682,2.57298132066633E18,2.57298132066633E18,1.1277435,1.0877361,1.167772,1.1841263,1.7822503,3.0770304,1.1817,1.1784,1.1853,4.0387,4.0326,4.0449,0.0011,-0.3289,6.0E-4,"[""SPOC""]","[""PDCSAP""]",2,"[42, 43]","[13075, 14013]","[13075, 14013]","[1.0, 1.0]",,2447.6942505384764,2498.3300560463917,50.63580550791539,27078,1.0000338554382324,0.002865948,0.004,4,240000,2.0096271290545076E-8,0.3472802442537078,2.4412913712525515E-4,80,2.9295496455030616E-4,42504,0.7116945487272863,1.4050971751691599,0.047631818,2447,0.3472802442537078,1422.526816516494,,,1.4050971751691599,1,V
348639155,56.09809,24.13264,0.589654,0.51,ROT,6.52728213180026E16,56.09822487,24.13243934,38.629074,2.4802384,2.032270858,0.130485039,51.433403,28.07065075,-43.09795067,6.376698,7.3636033,0.100038484,8.972041,0.6522598,6825.738,4.1444,6.52728213180026E16,6.52728213180026E16,1.4033564,1.362911,1.4438623,1.5506744,4.704462,1.4628938,1.5517,1.4982,1.5945,3.0076,2.9522,3.0813,0.2985,-0.6397,0.1615,"[""SPOC""]","[""PDCSAP""]",5,"[42, 43, 44, 70, 71]","[13081, 15697, 15668, 15472, 15323]","[13081, 15697, 15668, 15472, 15323]","[1.0, 1.0, 1.0, 1.0, 1.0]",,2447.690948306677,3259.4129329164057,811.7219846097287,75232,1.0000113248825073,0.001623953,0.004,4,240000,2.6350156698842836E-10,0.8078679268618909,9.74198749153164E-5,1955,1.1690384989837966E-4,101686,1.6970789544956437,0.5892477762162756,2.543692610169089E-4,2447,0.8078679268618909,8292.639746911413,,,0.5892477762162756,1,V
349647697,112.15519,-64.63656,0.527641,0.53,ROT,5.2876125826075E18,112.1552141,-64.6365289,108.91416,4.2090383,0.805244233,0.031119037,7.682673,3.754195754,6.702945541,-4.540567,5.934782568,0.04728064,8.853498,0.4631338,6967.771,3.9633,5.2876125826075E18,5.2876125826075E18,1.4952769,1.4549544,1.5356051,1.7309247,6.3705187,1.4377645,1.7335,1.71,1.7549,2.703,2.6769,2.7297,0.004,-1.2295,0.0022,"[""SPOC""]","[""PDCSAP""]",21,"[1, 2, 3, 4, 5, 6, 13, 12, 10, 11, 8, 7, 9, 87, 95, 88, 89, 90, 93, 94, 96]","[18279, 17578, 12652, 14464, 17025, 14592, 19440, 16420, 15161, 14856, 12981, 16339, 15925, 14550, 14992, 16276, 20256, 17734, 15082, 14987, 14985]","[18279, 17578, 12652, 14464, 17025, 14592, 19440, 16420, 15161, 14856, 12981, 16339, 15925, 14550, 14992, 16276, 20256, 17734, 15082, 14987, 14985]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,1325.2965820926254,3933.254283750961,2607.9577016583353,327050,1.0004284381866455,0.007137544,0.004,4,240000,6.141062292203318E-12,0.3973413495481832,2.6950688947835966E-5,6167,3.234082673740316E-5,113575,1.8950316292984555,0.5276956777603771,6.490993243110716E-5,1325,0.3973413495481832,14743.272437942189,,,0.5276956777603771,1,V
350148277,235.7379,6.71759,2.810219,0.67,ROT,4.42981497973968E18,235.7380959,6.717502675,13.313897,1.0272442,4.320593255,0.333358773,47.871323,43.89323354,-19.10622054,0.28447002,16.00097095,0.021636518,8.196246,0.7129054,5995.2065,4.3016,4.42981497973968E18,4.42981497973968E18,1.0704343,1.0304285,1.1104413,1.1345264,1.4980458,4.3266487,1.137,1.1352,1.1387,4.2095,4.2066,4.2124,1.0E-4,-0.1913,1.0E-4,"[""SPOC""]","[""PDCSAP""]",1,[51],[6828],[6828],[1.0],,2698.379389042198,2717.5392638188832,19.15987477668523,6817,1.0000473260879517,0.002165272,0.004,4,240000,7.100059432505504E-11,0.6527701268212293,2.1715564209971025E-4,41,2.605867705196523E-4,20908,0.35211965049854377,2.8399437480531513,0.32040992662321405,2698,0.6527701268212293,3006.0012280109217,V,V,2.8399437480531513,1.01,V
350813578,285.5195,48.99711,1.077032,0.55,ROT,2.13199785135676E18,285.5196054,48.9972371,28.069866,1.4523032,2.49053697,0.128857573,33.469048,15.88280096,29.46037452,-29.15477,6.484183251,0.010098997,9.533762,0.6439438,6270.9453,4.2042,2.13199785135676E18,2.13199785135676E18,1.201,1.1609782,1.2410669,1.3776746,2.6451986,3.3172712,1.3818,1.3769,1.4158,3.582,3.5307,3.5892,0.0037,-0.0991,0.002,"[""SPOC""]","[""PDCSAP""]",3,"[14, 15, 26]","[18424, 13236, 16942]","[18424, 13236, 16942]","[1.0, 1.0, 1.0]",,1683.3558335936918,2035.1361367567288,351.78030316303693,48594,1.0000077486038208,0.001474412,0.004,4,240000,2.9377029749668336E-10,0.26945554479013434,9.920893424695167E-5,762,1.19050721096342E-4,55334,0.925314939,1.080713125937016,0.001983522,1683,0.26945554479013434,2716.041119032722,,V,1.080713125937016,1,V
351541830,253.50605,18.31496,0.981432,0.51,ROT,4.55957095827582E18,253.5059565,18.31500678,57.88114,3.2418199,1.247573954,0.069874402,22.820805,-20.41790731,10.19304465,-26.133951,7.276241229,0.012910108,9.262575,0.66544914,6311.707,4.1544,4.55957095827582E18,4.55957095827582E18,1.2271378,1.1871063,1.2671758,1.4250559,2.9040523,3.135047,1.4273,1.4244,1.4303,3.4975,3.4923,3.5023,0.0737,-0.2769,0.0398,"[""SPOC""]","[""PDCSAP""]",3,"[25, 52, 79]","[17245, 11011, 12500]","[17245, 11011, 12500]","[1.0, 1.0, 1.0]",,1983.6385735494741,3479.6777447189684,1496.0391711694942,40752,1.0000028610229492,9.580953628756106E-4,0.004,4,240000,2.679251632474282E-9,0.1633051329230185,5.540933988676654E-4,3015,6.649120786411985E-4,60317,1.0082822345093105,0.991785797,4.258191267872955E-4,1983,0.1633051329230185,294.7249204858706,,,0.991785797,1.01,X
